"","nom_mun","att_neigh.bin","att_party.bin","att_ngo.bin","att_union.bin","victim","tenure","age","women","edu","neighsec","vote","rural","party","partypri","partyprd","kinship","state"
"26","Aguascalientes",0,0,0,0,"Not a victim",2,36,0,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.285714285714286,"Aguascalientes"
"27","Aguascalientes",1,0,0,0,"Victim",5,32,1,3,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.285714285714286,"Aguascalientes"
"28","Aguascalientes",0,0,0,0,"Not a victim",2,26,1,2,"Worsened a lot/somewhat",2,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.261904761904762,"Aguascalientes"
"29","Aguascalientes",1,0,0,0,"Not a victim",5,30,1,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.833333333333333,"Aguascalientes"
"30","Aguascalientes",0,0,0,0,"Not a victim",5,38,1,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.285714285714286,"Aguascalientes"
"31","Ajalpan",1,0,0,0,"Victim",5,46,0,3,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.619047619047619,"Puebla"
"32","Ajalpan",0,0,0,0,"Not a victim",5,25,0,4,"Improved a lot/somewhat or same",3,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.547619047619048,"Puebla"
"33","Ajalpan",0,0,0,0,"Not a victim",5,32,1,2,"Worsened a lot/somewhat",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Puebla"
"34","Ajalpan",0,0,0,0,"Victim",5,19,0,3,"Worsened a lot/somewhat",3,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.777777777777778,"Puebla"
"35","Ajalpan",0,0,0,0,"Not a victim",5,52,0,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.541666666666667,"Puebla"
"36","Ajalpan",0,0,0,0,"Not a victim",5,40,0,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.738095238095238,"Puebla"
"37","Ajalpan",0,0,0,0,"Victim",4,42,1,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.642857142857143,"Puebla"
"38","Ajalpan",0,0,0,0,"Not a victim",5,40,0,3,"Improved a lot/somewhat or same",3,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.69047619047619,"Puebla"
"39","Ajalpan",0,0,0,0,"Not a victim",5,63,1,1,"Improved a lot/somewhat or same",2,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.428571428571429,"Puebla"
"40","Ajalpan",0,0,0,0,"Not a victim",5,40,1,3,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.595238095238095,"Puebla"
"41","Cuautinchan",0,0,0,0,"Not a victim",5,40,1,3,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.571428571428571,"Puebla"
"42","Cuautinchan",0,0,0,0,"Not a victim",5,23,0,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.619047619047619,"Puebla"
"43","Cuautinchan",0,0,0,0,"Not a victim",5,32,0,4,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.571428571428571,"Puebla"
"44","Cuautinchan",0,0,0,0,"Not a victim",5,18,1,4,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Puebla"
"45","Cuautinchan",0,0,0,0,"Not a victim",5,70,1,4,"Improved a lot/somewhat or same",2,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.428571428571429,"Puebla"
"46","Cuautinchan",0,0,0,0,"Not a victim",5,35,0,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.571428571428571,"Puebla"
"47","Cuautinchan",0,0,0,0,"Victim",5,25,0,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.666666666666667,"Puebla"
"48","Cuautinchan",0,0,0,0,"Not a victim",5,36,1,4,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.80952380952381,"Puebla"
"49","Cuautinchan",0,0,0,0,"Not a victim",5,40,1,3,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.571428571428571,"Puebla"
"50","Cuautinchan",0,0,0,0,"Not a victim",5,40,1,4,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.714285714285714,"Puebla"
"51","Santa Maria Jacatepec",1,0,0,0,"Not a victim",3,33,1,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Oaxaca"
"52","Santa Maria Jacatepec",0,1,0,0,"Not a victim",1,22,1,5,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.833333333333333,"Oaxaca"
"53","Santa Maria Jacatepec",1,0,0,0,"Not a victim",4,32,1,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.857142857142857,"Oaxaca"
"54","Santa Maria Jacatepec",0,0,0,0,"Not a victim",5,34,0,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.642857142857143,"Oaxaca"
"55","Santa Maria Jacatepec",1,0,0,0,"Not a victim",4,30,1,4,"Improved a lot/somewhat or same",NA,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.761904761904762,"Oaxaca"
"56","Santa Maria Jacatepec",1,0,0,0,"Not a victim",5,68,1,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.7,"Oaxaca"
"57","Santa Maria Jacatepec",1,0,0,0,"Not a victim",5,45,0,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.761904761904762,"Oaxaca"
"58","Santa Maria Jacatepec",0,0,0,0,"Not a victim",5,48,1,3,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.523809523809524,"Oaxaca"
"59","Santa Maria Jacatepec",0,0,0,0,"Not a victim",5,89,0,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.5,"Oaxaca"
"60","Santa Maria Jacatepec",0,0,0,0,"Not a victim",3,32,0,5,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.547619047619048,"Oaxaca"
"61","Tulcingo",0,0,0,0,"Not a victim",2,42,1,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.619047619047619,"Puebla"
"62","Tulcingo",0,0,0,0,"Not a victim",5,80,0,1,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.261904761904762,"Puebla"
"63","Tulcingo",0,0,0,0,"Not a victim",2,23,1,3,"Worsened a lot/somewhat",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.166666666666667,"Puebla"
"64","Tulcingo",0,0,0,0,"Not a victim",1,28,0,2,"Improved a lot/somewhat or same",1,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.357142857142857,"Puebla"
"65","Tulcingo",1,0,0,0,"Not a victim",5,42,1,4,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.452380952380952,"Puebla"
"66","Tulcingo",0,0,0,0,"Not a victim",5,78,0,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.333333333333333,"Puebla"
"67","Tulcingo",0,0,1,0,"Not a victim",5,24,1,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.642857142857143,"Puebla"
"68","Tulcingo",0,0,0,0,"Not a victim",5,46,1,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.523809523809524,"Puebla"
"69","Tulcingo",0,0,0,0,"Not a victim",5,46,1,2,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.285714285714286,"Puebla"
"70","Tulcingo",0,0,0,0,"Not a victim",5,67,0,2,"Improved a lot/somewhat or same",1,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.238095238095238,"Puebla"
"71","Huautla",1,0,0,0,"Not a victim",5,39,0,3,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.738095238095238,"Hidalgo"
"72","Huautla",0,0,0,0,"Victim",5,24,0,5,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.714285714285714,"Hidalgo"
"73","Huautla",1,0,0,0,"Not a victim",5,32,1,4,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.642857142857143,"Hidalgo"
"74","Huautla",1,1,0,0,"Not a victim",1,30,1,5,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.785714285714286,"Hidalgo"
"75","Huautla",1,0,0,0,"Not a victim",5,43,1,4,"Worsened a lot/somewhat",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.166666666666667,"Hidalgo"
"76","Huautla",1,0,0,0,"Not a victim",5,21,1,4,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.404761904761905,"Hidalgo"
"77","Huautla",1,0,0,0,"Not a victim",5,50,1,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.595238095238095,"Hidalgo"
"78","Huautla",1,1,NA,1,"Not a victim",5,50,0,5,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.69047619047619,"Hidalgo"
"79","Huautla",1,1,0,0,"Not a victim",5,26,1,5,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Hidalgo"
"80","Huautla",1,1,0,0,"Victim",5,27,1,4,"Worsened a lot/somewhat",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.904761904761905,"Hidalgo"
"81","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",5,53,0,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.642857142857143,"Oaxaca"
"82","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",5,50,1,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.738095238095238,"Oaxaca"
"83","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",5,53,1,4,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.785714285714286,"Oaxaca"
"84","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",4,72,0,2,"Worsened a lot/somewhat",2,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Oaxaca"
"85","San Pedro Ixtlahuaca",1,0,0,0,"Not a victim",2,30,1,3,"Worsened a lot/somewhat",3,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.595238095238095,"Oaxaca"
"86","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",5,79,1,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.766666666666667,"Oaxaca"
"87","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",5,33,0,5,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.738095238095238,"Oaxaca"
"88","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",1,24,1,3,"Worsened a lot/somewhat",NA,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.666666666666667,"Oaxaca"
"89","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",3,35,1,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Oaxaca"
"90","San Pedro Ixtlahuaca",0,0,0,0,"Not a victim",4,45,0,4,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.619047619047619,"Oaxaca"
"91","Santa Cruz Juventino Rosas",0,0,0,0,"Victim",3,53,1,2,"Improved a lot/somewhat or same",NA,0,NA,NA,NA,0.547619047619048,"Guanajuato"
"92","Santa Cruz Juventino Rosas",0,0,0,0,"Victim",2,25,0,4,"Improved a lot/somewhat or same",4,0,NA,NA,NA,0.595238095238095,"Guanajuato"
"93","Santa Cruz Juventino Rosas",0,0,0,0,"Victim",5,53,0,3,"Improved a lot/somewhat or same",NA,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.261904761904762,"Guanajuato"
"94","Santa Cruz Juventino Rosas",0,0,0,0,"Victim",5,18,0,4,"Improved a lot/somewhat or same",NA,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.452380952380952,"Guanajuato"
"95","Santa Cruz Juventino Rosas",1,0,0,0,"Not a victim",3,25,1,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.69047619047619,"Guanajuato"
"96","Santa Cruz Juventino Rosas",0,0,0,0,"Not a victim",4,29,1,3,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.833333333333333,"Guanajuato"
"97","Santa Cruz Juventino Rosas",0,0,0,0,"Not a victim",5,70,1,1,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.333333333333333,"Guanajuato"
"98","Santa Cruz Juventino Rosas",0,0,0,0,"Not a victim",3,18,1,4,"Improved a lot/somewhat or same",4,0,NA,NA,NA,0.523809523809524,"Guanajuato"
"99","Santa Cruz Juventino Rosas",0,0,0,0,"Not a victim",4,22,1,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.619047619047619,"Guanajuato"
"100","Santa Cruz Juventino Rosas",0,0,0,0,"Not a victim",5,46,1,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.523809523809524,"Guanajuato"
"101","Los Cabos",1,1,1,0,"Not a victim",4,33,0,4,"Improved a lot/somewhat or same",3,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.166666666666667,"Baja California Sur"
"102","Los Cabos",0,0,0,0,"Not a victim",4,55,1,2,"Worsened a lot/somewhat",3,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.404761904761905,"Baja California Sur"
"103","Los Cabos",0,0,0,0,"Not a victim",5,38,1,3,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.642857142857143,"Baja California Sur"
"104","Los Cabos",1,0,1,0,"Not a victim",5,44,0,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.166666666666667,"Baja California Sur"
"105","Los Cabos",1,1,1,1,"Not a victim",4,49,1,2,"Worsened a lot/somewhat",3,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.404761904761905,"Baja California Sur"
"106","Los Cabos",0,0,0,0,"Not a victim",4,39,0,4,"Improved a lot/somewhat or same",1,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.261904761904762,"Baja California Sur"
"107","Los Cabos",1,1,1,1,"Not a victim",3,36,1,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.285714285714286,"Baja California Sur"
"108","Los Cabos",0,1,0,0,"Not a victim",2,29,0,1,"Improved a lot/somewhat or same",4,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.166666666666667,"Baja California Sur"
"109","Los Cabos",0,0,NA,1,"Not a victim",4,41,1,3,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.404761904761905,"Baja California Sur"
"110","Los Cabos",0,1,1,1,"Not a victim",4,40,0,5,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.166666666666667,"Baja California Sur"
"111","Apizaco",0,0,0,0,"Not a victim",5,71,0,3,"Improved a lot/somewhat or same",3,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.428571428571429,"Tlaxcala"
"112","Apizaco",0,0,0,0,"Not a victim",5,36,1,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.595238095238095,"Tlaxcala"
"113","Apizaco",0,0,0,0,"Not a victim",4,51,1,2,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.571428571428571,"Tlaxcala"
"114","Apizaco",0,0,0,0,"Not a victim",5,20,1,4,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.714285714285714,"Tlaxcala"
"115","Apizaco",0,0,0,0,"Not a victim",5,19,0,3,"Worsened a lot/somewhat",3,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.738095238095238,"Tlaxcala"
"116","Apizaco",0,0,0,0,"Not a victim",5,39,1,3,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.666666666666667,"Tlaxcala"
"117","Apizaco",0,0,0,0,"Victim",5,19,1,5,"Worsened a lot/somewhat",4,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.761904761904762,"Tlaxcala"
"118","Apizaco",0,0,0,0,"Not a victim",5,23,1,1,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.666666666666667,"Tlaxcala"
"119","Apizaco",0,0,0,0,"Not a victim",5,40,1,4,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.5,"Tlaxcala"
"120","Apizaco",0,0,0,0,"Not a victim",5,26,0,5,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.333333333333333,"Tlaxcala"
"121","Puebla",0,0,0,0,"Not a victim",4,36,1,5,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.714285714285714,"Puebla"
"122","Puebla",0,0,0,0,"Not a victim",3,23,0,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.8,"Puebla"
"123","Puebla",0,0,0,0,"Not a victim",5,64,1,4,"Improved a lot/somewhat or same",4,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.777777777777778,"Puebla"
"124","Puebla",0,0,0,0,"Not a victim",5,55,1,5,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.583333333333333,"Puebla"
"125","Puebla",0,0,0,0,"Not a victim",3,54,1,5,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.666666666666667,"Puebla"
"126","Puebla",0,0,0,0,"Not a victim",4,69,0,4,"Improved a lot/somewhat or same",1,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",1,"Puebla"
"127","Puebla",0,0,0,0,"Victim",3,30,1,5,"Improved a lot/somewhat or same",4,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.583333333333333,"Puebla"
"128","Puebla",0,0,0,0,"Victim",4,21,1,4,"Improved a lot/somewhat or same",3,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.8,"Puebla"
"129","Puebla",0,0,0,0,"Not a victim",4,55,0,5,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.875,"Puebla"
"130","Puebla",0,0,0,0,"Not a victim",5,63,0,5,"Improved a lot/somewhat or same",2,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.611111111111111,"Puebla"
"131","Los Cabos",0,0,0,0,"Not a victim",4,31,0,3,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.285714285714286,"Baja California Sur"
"132","Los Cabos",0,0,0,0,"Not a victim",3,51,1,3,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.404761904761905,"Baja California Sur"
"133","Los Cabos",0,0,NA,1,"Not a victim",5,56,0,4,"Improved a lot/somewhat or same",1,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.166666666666667,"Baja California Sur"
"134","Los Cabos",1,1,0,0,"Not a victim",3,36,1,3,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.523809523809524,"Baja California Sur"
"135","Los Cabos",0,0,0,0,"Not a victim",2,28,1,4,"Worsened a lot/somewhat",3,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.166666666666667,"Baja California Sur"
"136","Los Cabos",0,0,NA,1,"Not a victim",4,56,0,2,"Improved a lot/somewhat or same",3,0,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.166666666666667,"Baja California Sur"
"137","Los Cabos",0,0,0,0,"Not a victim",2,29,1,2,"Worsened a lot/somewhat",2,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.285714285714286,"Baja California Sur"
"138","Los Cabos",0,0,0,0,"Not a victim",2,25,0,4,"Improved a lot/somewhat or same",4,0,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.166666666666667,"Baja California Sur"
"139","Los Cabos",0,0,1,0,"Not a victim",3,57,0,2,"Improved a lot/somewhat or same",3,0,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.404761904761905,"Baja California Sur"
"140","Los Cabos",0,0,0,0,"Not a victim",5,51,0,2,"Worsened a lot/somewhat",4,0,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.523809523809524,"Baja California Sur"
